locatie_id,volgnummer,apparaat_id,type,status,statusReason,timestamp
1011001,01,611057,Sealbag-automaat,Available,False,2024-07-31 18:12:01
1011001,02,811798,Geld storten en opnemen,Available,True,2024-07-31 18:12:01
1011001,03,920366,Geldautomaat,Available,False,2024-07-31 18:12:01
1011002,01,911448,Geldautomaat,Available,False,2024-07-31 18:12:02
1011003,01,921129,Geldautomaat,Available,False,2024-07-31 18:12:02
1012001,01,812212,Geld storten en opnemen,Available,True,2024-07-31 18:12:03
1012002,01,810363,Geld storten en opnemen,Unavailable,True,2024-07-31 18:12:03
1012006,01,914201,Geldautomaat,Available,False,2024-07-31 18:12:04
1012007,01,921130,Geldautomaat,Available,False,2024-07-31 18:12:04
1012009,01,921137,Geldautomaat,Available,False,2024-07-31 18:12:05
1012013,01,920974,Geldautomaat,Available,False,2024-07-31 18:12:06
1012013,02,812414,Geld storten en opnemen,Unavailable,False,2024-07-31 18:12:06
1012013,03,611347,Sealbag-automaat,Available,False,2024-07-31 18:12:06
1012014,01,812450,Geld storten en opnemen,Available,True,2024-07-31 18:12:06
1012014,02,812469,Geld storten en opnemen,Unavailable,True,2024-07-31 18:12:06
1012015,01,920286,Geldautomaat,Available,False,2024-07-31 18:12:07
1012015,02,611463,Sealbag-automaat,Available,False,2024-07-31 18:12:07
1012017,01,812969,Geld storten en opnemen,Available,True,2024-07-31 18:12:07
1012017,02,812971,Geld storten en opnemen,Available,True,2024-07-31 18:12:07
1012017,03,812972,Geld storten en opnemen,Available,True,2024-07-31 18:12:07
1012017,04,812970,Geld storten en opnemen,Available,True,2024-07-31 18:12:07
1012018,01,914888,Geldautomaat,Available,False,2024-07-31 18:12:08
1013001,01,921139,Geldautomaat,Available,False,2024-07-31 18:12:08
1013002,01,921142,Geldautomaat,Available,False,2024-07-31 18:12:09
1013003,01,811960,Geld storten en opnemen,Available,True,2024-07-31 18:12:09
1013003,02,813033,Geld storten en opnemen,Available,True,2024-07-31 18:12:09
1015001,01,811741,Geld storten en opnemen,Available,True,2024-07-31 18:12:10
1015002,01,921051,Geldautomaat,Available,False,2024-07-31 18:12:10
1015003,01,920706,Geldautomaat,Available,False,2024-07-31 18:12:11
1016002,01,921393,Geldautomaat,Available,False,2024-07-31 18:12:11
1016004,01,930098,Geldautomaat,Available,False,2024-07-31 18:12:12
1016005,01,914064,Geldautomaat,Available,False,2024-07-31 18:12:12
1017006,01,911449,Geldautomaat,Available,False,2024-07-31 18:12:14
1017007,01,921052,Geldautomaat,Available,False,2024-07-31 18:12:14
1017008,01,921143,Geldautomaat,Available,False,2024-07-31 18:12:15
1017009,01,911452,Geldautomaat,Available,False,2024-07-31 18:12:15
1017009,02,610019,Sealbag-automaat,Available,False,2024-07-31 18:12:15
1017011,01,812816,Geld storten en opnemen,Available,True,2024-07-31 18:12:16
1017011,02,812814,Geld storten en opnemen,Available,True,2024-07-31 18:12:16
1017011,03,812815,Geld storten en opnemen,Available,True,2024-07-31 18:12:16
1017011,04,611088,Sealbag-automaat,Available,False,2024-07-31 18:12:16
1017012,01,921151,Geldautomaat,Available,False,2024-07-31 18:12:16
1018002,01,911009,Geldautomaat,Available,False,2024-07-31 18:12:17
1018003,01,911010,Geldautomaat,Available,False,2024-07-31 18:12:17
1018004,01,921394,Geldautomaat,Available,False,2024-07-31 18:12:17
1018005,01,811066,Geld storten en opnemen,Available,True,2024-07-31 18:12:18
1019001,01,912160,Geldautomaat,Available,False,2024-07-31 18:12:18
1019004,01,812389,Geld storten en opnemen,Available,True,2024-07-31 18:12:19
1019004,02,812821,Geld storten en opnemen,Available,True,2024-07-31 18:12:19
