locatie_id,volgnummer,apparaat_id,type,status,statusReason,timestamp
6291005,01,610792,Sealbag-automaat,Available,False,2023-08-27 10:38:07
2024001,01,910901,Geldautomaat,Available,False,2023-08-27 10:38:08
3844002,01,911239,Geldautomaat,Available,False,2023-08-27 10:38:08
5704002,01,910844,Geldautomaat,Available,False,2023-08-27 10:38:09
5281001,01,810147,Geld storten en opnemen,Unavailable,False,2023-08-27 10:38:09
6851003,01,810185,Geld storten en opnemen,Available,True,2023-08-27 10:38:10
4101005,01,914071,Geldautomaat,Available,False,2023-08-27 10:38:10
4101005,02,611094,Sealbag-automaat,Available,False,2023-08-27 10:38:10
6931002,01,811209,Geld storten en opnemen,Available,True,2023-08-27 10:38:11
6931002,02,610214,Sealbag-automaat,Available,False,2023-08-27 10:38:11
7861001,01,920066,Geldautomaat,Available,False,2023-08-27 10:38:12
1541003,01,912827,Geldautomaat,Available,False,2023-08-27 10:38:12
7008001,01,911875,Geldautomaat,Available,False,2023-08-27 10:38:13
8911002,01,912367,Geldautomaat,Available,False,2023-08-27 10:38:13
1024004,01,811469,Geld storten en opnemen,Available,True,2023-08-27 10:38:14
1974001,01,910919,Geldautomaat,Available,False,2023-08-27 10:38:14
6466003,01,810056,Geld storten en opnemen,Unavailable,False,2023-08-27 10:38:15
1317001,01,910676,Geldautomaat,Available,False,2023-08-27 10:38:16
3332006,01,610711,Sealbag-automaat,Available,False,2023-08-27 10:38:16
3332006,02,811220,Geld storten en opnemen,Available,True,2023-08-27 10:38:16
3332006,03,913265,Geldautomaat,Available,False,2023-08-27 10:38:16
6511001,01,811888,Geld storten en opnemen,Unavailable,True,2023-08-27 10:38:17
6511001,02,914006,Geldautomaat,Available,False,2023-08-27 10:38:17
6511001,03,811840,Geld storten en opnemen,Unavailable,False,2023-08-27 10:38:17
5611018,01,813073,Geld storten en opnemen,Available,True,2023-08-27 10:38:17
5611018,02,813071,Geld storten en opnemen,Available,True,2023-08-27 10:38:17
5611018,03,813070,Geld storten en opnemen,Available,True,2023-08-27 10:38:17
5611018,04,813069,Geld storten en opnemen,Available,True,2023-08-27 10:38:17
5611018,05,813072,Geld storten en opnemen,Available,True,2023-08-27 10:38:17
6627001,01,911070,Geldautomaat,Available,False,2023-08-27 10:38:18
