locatie_id,volgnummer,apparaat_id,type,status,statusReason,timestamp
1011001,01,611057,Sealbag-automaat,Available,False,2024-07-11 20:13:03
1011001,02,811798,Geld storten en opnemen,Available,True,2024-07-11 20:13:03
1011001,03,920366,Geldautomaat,Available,False,2024-07-11 20:13:03
1011002,01,911448,Geldautomaat,Available,False,2024-07-11 20:13:04
1011003,01,921129,Geldautomaat,Available,False,2024-07-11 20:13:05
1012001,01,812212,Geld storten en opnemen,Available,True,2024-07-11 20:13:05
1012002,01,810363,Geld storten en opnemen,Unavailable,False,2024-07-11 20:13:06
1012006,01,914201,Geldautomaat,Available,False,2024-07-11 20:13:06
1012007,01,921130,Geldautomaat,Available,False,2024-07-11 20:13:07
1012009,01,921137,Geldautomaat,Available,False,2024-07-11 20:13:07
1012013,01,920974,Geldautomaat,Available,False,2024-07-11 20:13:08
1012013,02,812414,Geld storten en opnemen,Unavailable,False,2024-07-11 20:13:08
1012013,03,611347,Sealbag-automaat,Available,False,2024-07-11 20:13:08
1012014,01,812450,Geld storten en opnemen,Available,True,2024-07-11 20:13:09
1012014,02,812469,Geld storten en opnemen,Unavailable,False,2024-07-11 20:13:09
1012015,01,920286,Geldautomaat,Available,False,2024-07-11 20:13:09
1012015,02,611463,Sealbag-automaat,Available,False,2024-07-11 20:13:09
1012017,01,812969,Geld storten en opnemen,Unavailable,False,2024-07-11 20:13:09
1012017,02,812971,Geld storten en opnemen,Available,True,2024-07-11 20:13:09
1012017,03,812972,Geld storten en opnemen,Unavailable,False,2024-07-11 20:13:09
1012017,04,812970,Geld storten en opnemen,Available,True,2024-07-11 20:13:09
1012018,01,914888,Geldautomaat,Available,False,2024-07-11 20:13:10
1013001,01,921139,Geldautomaat,Available,False,2024-07-11 20:13:10
1013002,01,921142,Geldautomaat,Available,False,2024-07-11 20:13:11
1013003,01,811960,Geld storten en opnemen,Available,True,2024-07-11 20:13:11
1013003,02,813033,Geld storten en opnemen,Available,True,2024-07-11 20:13:11
1015001,01,811741,Geld storten en opnemen,Available,True,2024-07-11 20:13:12
1015002,01,921051,Geldautomaat,Available,False,2024-07-11 20:13:12
1015003,01,920706,Geldautomaat,Available,False,2024-07-11 20:13:13
1016002,01,921393,Geldautomaat,Available,False,2024-07-11 20:13:13
1016004,01,930098,Geldautomaat,Available,False,2024-07-11 20:13:14
1016005,01,914064,Geldautomaat,Available,False,2024-07-11 20:13:14
1017006,01,911449,Geldautomaat,Available,False,2024-07-11 20:13:16
1017007,01,921052,Geldautomaat,Available,False,2024-07-11 20:13:16
1017008,01,921143,Geldautomaat,Available,False,2024-07-11 20:13:17
1017009,01,911452,Geldautomaat,Available,False,2024-07-11 20:13:17
1017009,02,610019,Sealbag-automaat,Available,False,2024-07-11 20:13:17
1017011,01,812816,Geld storten en opnemen,Available,True,2024-07-11 20:13:18
1017011,02,812814,Geld storten en opnemen,Available,True,2024-07-11 20:13:18
1017011,03,812815,Geld storten en opnemen,Available,True,2024-07-11 20:13:18
1017011,04,611088,Sealbag-automaat,Available,False,2024-07-11 20:13:18
1017012,01,921151,Geldautomaat,Available,False,2024-07-11 20:13:18
1018002,01,911009,Geldautomaat,Available,False,2024-07-11 20:13:19
1018003,01,911010,Geldautomaat,Available,False,2024-07-11 20:13:19
1018004,01,921394,Geldautomaat,Available,False,2024-07-11 20:13:19
