locatie_id,volgnummer,apparaat_id,type,status,statusReason,timestamp
6291005,01,610792,Sealbag-automaat,Available,False,2023-06-07 08:33:42
2024001,01,910901,Geldautomaat,Available,False,2023-06-07 08:33:43
3844002,01,911239,Geldautomaat,Available,False,2023-06-07 08:33:44
5704002,01,910844,Geldautomaat,Available,False,2023-06-07 08:33:44
5281001,01,810147,Geld storten en opnemen,Available,True,2023-06-07 08:33:45
6851003,01,810185,Geld storten en opnemen,Available,True,2023-06-07 08:33:46
4101005,01,914071,Geldautomaat,Unavailable,False,2023-06-07 08:33:46
4101005,02,611094,Sealbag-automaat,Available,False,2023-06-07 08:33:46
6931002,01,811209,Geld storten en opnemen,Available,True,2023-06-07 08:33:47
6931002,02,610214,Sealbag-automaat,Available,False,2023-06-07 08:33:47
7861001,01,920066,Geldautomaat,Available,False,2023-06-07 08:33:48
1541003,01,912827,Geldautomaat,Available,False,2023-06-07 08:33:48
7008001,01,911875,Geldautomaat,Available,False,2023-06-07 08:33:49
8911002,01,912367,Geldautomaat,Available,False,2023-06-07 08:33:50
1024004,01,811469,Geld storten en opnemen,Available,True,2023-06-07 08:33:50
1974001,01,910919,Geldautomaat,Available,False,2023-06-07 08:33:51
6466003,01,810056,Geld storten en opnemen,Available,True,2023-06-07 08:33:52
1317001,01,910676,Geldautomaat,Available,False,2023-06-07 08:33:52
3332006,01,610711,Sealbag-automaat,Available,False,2023-06-07 08:33:53
3332006,02,811220,Geld storten en opnemen,Available,True,2023-06-07 08:33:53
3332006,03,913265,Geldautomaat,Available,False,2023-06-07 08:33:53
6511001,01,811888,Geld storten en opnemen,Unavailable,False,2023-06-07 08:33:54
6511001,02,914006,Geldautomaat,Available,False,2023-06-07 08:33:54
6511001,03,811840,Geld storten en opnemen,Available,True,2023-06-07 08:33:54
5611018,01,813073,Geld storten en opnemen,Available,True,2023-06-07 08:33:55
5611018,02,813071,Geld storten en opnemen,Unavailable,True,2023-06-07 08:33:55
5611018,03,813070,Geld storten en opnemen,Available,True,2023-06-07 08:33:55
5611018,04,813069,Geld storten en opnemen,Available,True,2023-06-07 08:33:55
5611018,05,813072,Geld storten en opnemen,Available,True,2023-06-07 08:33:55
6627001,01,911070,Geldautomaat,Available,False,2023-06-07 08:33:55
