locatie_id,volgnummer,apparaat_id,type,status,statusReason,timestamp
6291005,01,610792,Sealbag-automaat,Available,False,2023-06-07 08:10:04.505213+02:00
2024001,01,910901,Geldautomaat,Available,False,2023-06-07 08:10:05.104443+02:00
3844002,01,911239,Geldautomaat,Available,False,2023-06-07 08:10:05.670037+02:00
5704002,01,910844,Geldautomaat,Available,False,2023-06-07 08:10:06.271195+02:00
5281001,01,810147,Geld storten en opnemen,Available,True,2023-06-07 08:10:06.809067+02:00
6851003,01,810185,Geld storten en opnemen,Available,True,2023-06-07 08:10:07.427951+02:00
4101005,01,914071,Geldautomaat,Unavailable,False,2023-06-07 08:10:08.016473+02:00
4101005,02,611094,Sealbag-automaat,Available,False,2023-06-07 08:10:08.016473+02:00
6931002,01,811209,Geld storten en opnemen,Available,True,2023-06-07 08:10:08.614100+02:00
6931002,02,610214,Sealbag-automaat,Available,False,2023-06-07 08:10:08.614100+02:00
7861001,01,920066,Geldautomaat,Available,False,2023-06-07 08:10:09.179370+02:00
1541003,01,912827,Geldautomaat,Available,False,2023-06-07 08:10:09.736768+02:00
7008001,01,911875,Geldautomaat,Available,False,2023-06-07 08:10:10.299848+02:00
8911002,01,912367,Geldautomaat,Available,False,2023-06-07 08:10:10.875944+02:00
1024004,01,811469,Geld storten en opnemen,Available,True,2023-06-07 08:10:11.409220+02:00
1974001,01,910919,Geldautomaat,Available,False,2023-06-07 08:10:11.963515+02:00
6466003,01,810056,Geld storten en opnemen,Available,True,2023-06-07 08:10:12.530376+02:00
1317001,01,910676,Geldautomaat,Available,False,2023-06-07 08:10:13.063988+02:00
3332006,01,610711,Sealbag-automaat,Available,False,2023-06-07 08:10:13.666875+02:00
3332006,02,811220,Geld storten en opnemen,Available,True,2023-06-07 08:10:13.666875+02:00
3332006,03,913265,Geldautomaat,Available,False,2023-06-07 08:10:13.666875+02:00
6511001,01,811888,Geld storten en opnemen,Unavailable,False,2023-06-07 08:10:14.224836+02:00
6511001,02,914006,Geldautomaat,Available,False,2023-06-07 08:10:14.224836+02:00
6511001,03,811840,Geld storten en opnemen,Available,True,2023-06-07 08:10:14.224836+02:00
5611018,01,813073,Geld storten en opnemen,Available,True,2023-06-07 08:10:14.815177+02:00
5611018,02,813071,Geld storten en opnemen,Unavailable,True,2023-06-07 08:10:14.815177+02:00
5611018,03,813070,Geld storten en opnemen,Available,True,2023-06-07 08:10:14.815177+02:00
5611018,04,813069,Geld storten en opnemen,Available,True,2023-06-07 08:10:14.815177+02:00
5611018,05,813072,Geld storten en opnemen,Available,True,2023-06-07 08:10:14.815177+02:00
6627001,01,911070,Geldautomaat,Available,False,2023-06-07 08:10:15.350087+02:00
